# OrcaSlicer Recommendations - Common Issues
# Source: Research documents F0Q5PYLJMV0TH4G.md + 3DP-2018-2.md + Industry guides
# Purpose: Comprehensive defect taxonomy with 40+ defects for vision AI and troubleshooting

Issue_Type,Symptom,Likely_Cause,Slicer_Setting,Klipper_Setting,Mechanical_Fix,Notes,visual_markers,reference_image_url,severity,printer_dependency,skill_level_required,related_defects
Not_Extruding_Start,No plastic at print start,Filament not loaded or nozzle oozing,Add skirt for priming,Prime extruder before print,Load filament properly,"Use 2-3 skirt outlines","Empty first layer;dry nozzle",,High,Generic,Beginner,"Clogged_Extruder,Grinding_Filament"
Not_Extruding_Start,No plastic at print start,Nozzle too close to bed,Raise Z-offset 0.05mm,Adjust Z-offset,Level bed with A4 paper,"Distance = A4 paper thickness","Scraping sounds;no extrusion",,High,Generic,Beginner,"Elephant_Foot"
Not_Extruding_Start,Stripped filament,Drive gear grinding,N/A,Reduce retraction,Check extruder tension,"See Grinding_Filament section","Shavings;missing section",,High,Generic,Intermediate,"Grinding_Filament"
Not_Extruding_Start,Nozzle clogged,Debris or thermal creep,Clean nozzle cold pull,Heat to 200°C,Drill/wire cleaning,"Use 0.3mm drill for 0.4mm nozzle","No flow;pressure buildup",,High,Generic,Intermediate,"Clogged_Extruder"
Not_Sticking_Bed,First layer not adhering,Bed not level,Re-level bed,Run bed mesh,Adjust corner screws,"Check with A4 paper all corners","Warped edges;detachment",,High,Generic,Beginner,"Warping,Edge_Bending"
Not_Sticking_Bed,Poor first layer adhesion,Nozzle too far from bed,Lower Z-offset 0.05mm,Adjust Z-offset,Reduce bed screws,"Distance = A4 paper thickness","Gaps between lines;not squished",,High,Generic,Beginner,"Warping"
Not_Sticking_Bed,First layer too fast,Print speed too high,Set first layer speed 20mm/s,N/A,N/A,"Slow allows bonding time","Lines not merged;poor adhesion",,Medium,Generic,Beginner,"Warping"
Not_Sticking_Bed,Temperature too low,Bed/nozzle temps incorrect,Bed +5°C or nozzle +5-10°C,N/A,Clean bed surface,"PLA: 190-220°C / 50-60°C bed","Loose corners;easy peel",,Medium,Generic,Beginner,"Warping"
Not_Sticking_Bed,Dirty build surface,Oils or residue on bed,N/A,N/A,Clean with IPA or soap,"Use glue stick or tape for PLA","Spotty adhesion;random detach",,Medium,Generic,Beginner,"Warping"
Not_Sticking_Bed,No brim or raft,Small contact area,Add brim 5-10mm or raft,N/A,N/A,"Brim easier to remove than raft","Small footprint parts fail",,Low,Generic,Beginner,"Warping"
